Countries,Year,Primary_enrollment
Bhutan,2010,110.369
Lithuania,2016,110.193
North Macedonia,2005,110.149
Fiji,2016,110.127
Antigua and Barbuda,2010,11.254
Tunisia,2014,1089.22
North Macedonia,2015,108.827
Fiji,2015,108.727
Solomon Islands,2017,108.396
North Macedonia,2014,108.254
Bahrain,2015,108.154
Lithuania,2014,108.115
Lithuania,2015,108.038
Niger,2005,1064.06
Slovenia,2010,106.883
Dem. Rep. of the Congo,2010,10572.42
Egypt,2010,10542.14
Benin,2001,1054.94
Mauritius,2014,105.447
Fiji,2013,105.037
El Salvador,2005,1045.48
Bhutan,2013,104.323
Comoros,2003,104.274
Solomon Islands,2015,104.236
Burundi,2005,1036.86
Tunisia,2010,1030.11
Comoros,2004,103.809
Bahrain,2014,103.806
Tunisia,2011,1027.97
Dem. Rep. of the Congo,2009,10244.09
Kazakhstan,2005,1023.97
Togo,2007,1021.62
Fiji,2012,102.778
China,2010,101018.62
Solomon Islands,2014,101.981
Armenia,2010,101.819
Bhutan,2014,101.667
Mauritius,2015,101.633
China,2017,100321.03
Ethiopia,2005,10019.73
Fiji,2009,100.967
Antigua and Barbuda,2012,10.453
Aruba,2005,10.25
Antigua and Barbuda,2014,10.172
Antigua and Barbuda,2015,10.077
Liechtenstein,2016,1.998
Liechtenstein,2015,1.977
Monaco,2015,1.959
Liechtenstein,2014,1.929
Cook Islands,2012,1.874
Cook Islands,2016,1.858
Palau,2004,1.855
Cook Islands,2014,1.843
Cook Islands,2010,1.841
Monaco,2004,1.831
Monaco,2010,1.82
Nauru,2005,1.812
Nauru,2016,1.808
Palau,2005,1.805
Cook Islands,2015,1.789
Monaco,2014,1.752
Palau,2013,1.654
Anguilla,2011,1.646
Palau,2014,1.639
Anguilla,2010,1.62
Anguilla,2008,1.61
Nauru,2014,1.578
San Marino,2010,1.577
San Marino,2012,1.574
Palau,2007,1.544
Tuvalu,2015,1.488
Tuvalu,2006,1.46
Tuvalu,2005,1.45
Anguilla,2005,1.449
San Marino,2004,1.445
Tuvalu,2001,1.427
Tuvalu,2014,1.421
Tuvalu,2016,1.324
Nauru,2008,1.254
San Marino,2000,1.249
Montserrat,2005,0.509
Montserrat,2007,0.497
Montserrat,2009,0.485
Montserrat,2017,0.452
Montserrat,2014,0.439
Tokelau,2003,0.227
Niue,2015,0.207
Niue,2014,0.202
Niue,2016,0.201
Niue,2005,0.178
Tokelau,2016,0.178
Afghanistan,2018,0
American Samoa,2007,0
Angola,2002,0
Angola,2005,0
Angola,2006,0
Angola,2013,0
Angola,2016,0
Aruba,2015,0
Aruba,2016,0
Bahrain,2010,0
Bangladesh,2013,0
Bangladesh,2014,0
Bangladesh,2015,0
Bosnia and Herzegovina,2005,0
Botswana,2010,0
Botswana,2015,0
Botswana,2017,0
Canada,2002,0
Cayman Islands,2003,0
Central African Republic,2000,0
Central African Republic,2017,0
China,2005,0
Comoros,2010,0
Congo,2013,0
Costa Rica,2017,0
Côte d’Ivoire,2010,0
Dem. People's Rep. Korea,2011,0
Dem. Rep. of the Congo,2016,0
Djibouti,2010,0
Egypt,2015,0
Eritrea,2016,0
Fiji,2005,0
India,2005,0
India,2017,0
Iraq,2005,0
Jordan,2015,0
Liberia,2010,0
Liberia,2012,0
Madagascar,2017,0
Marshall Islands,2012,0
Micronesia (Fed. States of),2000,0
Montserrat,2010,0
Myanmar,2012,0
Namibia,2014,0
Namibia,2015,0
Namibia,2016,0
Nigeria,2015,0
Oman,2010,0
Palau,2002,0
Philippines,2010,0
Philippines,2017,0
Romania,2014,0
Saudi Arabia,2017,0
Sierra Leone,2002,0
Singapore,2010,0
Singapore,2012,0
Sint Maarten (Dutch part),2015,0
Syrian Arab Republic,2014,0
Syrian Arab Republic,2015,0
Syrian Arab Republic,2016,0
Tunisia,2017,0
Turks and Caicos Islands,2010,0
Uganda,2014,0
United States Virgin Islands,2007,0
Zimbabwe,2010,0
Zimbabwe,2015,0
